state.abb,name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17",Median Household Income,
MO,Platte County,9020.00,8.30,2238.00,9.00,93925.00,
MO,Polk County,5592.00,17.70,1624.00,22.30,53693.00,
MO,Pulaski County,5331.00,12.30,1599.00,14.00,61718.00,
MO,Putnam County,752.00,16.40,230.00,21.90,49532.00,
MO,Ralls County,967.00,9.40,273.00,13.10,65016.00,
MO,Randolph County,3777.00,16.80,1094.00,20.90,48762.00,
MO,Ray County,2876.00,12.60,851.00,16.70,70506.00,
MO,Reynolds County,1268.00,21.80,322.00,29.80,44409.00,
MO,Ripley County,2361.00,22.20,802.00,32.30,41587.00,
MO,St. Charles County,21209.00,5.20,5350.00,5.90,98925.00,
MO,St. Clair County,1855.00,19.80,567.00,28.90,45174.00,
MO,Ste. Genevieve County,1801.00,10.10,505.00,13.10,63786.00,
MO,St. Francois County,11489.00,18.90,3090.00,22.70,48574.00,
MO,St. Louis County,101623.00,10.50,30200.00,14.30,79609.00,
MO,Saline County,3188.00,15.30,903.00,19.20,54623.00,
MO,Schuyler County,599.00,15.20,238.00,23.30,49508.00,
MO,Scotland County,527.00,11.60,213.00,16.30,54961.00,
MO,Scott County,6247.00,16.80,2066.00,23.30,57678.00,
MO,Shannon County,1523.00,21.40,562.00,35.90,39671.00,
MO,Shelby County,875.00,15.20,288.00,20.80,54264.00,
MO,Stoddard County,4201.00,15.10,1176.00,19.60,53391.00,
MO,Stone County,4113.00,12.90,1025.00,20.00,56418.00,
MO,Sullivan County,891.00,15.60,252.00,19.60,52384.00,
MO,Taney County,7332.00,13.50,2143.00,18.90,53009.00,
MO,Texas County,4533.00,19.30,1344.00,25.30,46622.00,
MO,Vernon County,3336.00,17.60,1027.00,22.90,51900.00,
MO,Warren County,3063.00,8.30,950.00,11.30,74355.00,
MO,Washington County,4376.00,19.60,1311.00,25.50,47636.00,
MO,Wayne County,2693.00,25.40,774.00,36.40,41724.00,
MO,Webster County,6229.00,15.70,2569.00,23.50,59784.00,
MO,Worth County,315.00,16.40,79.00,21.90,48397.00,
MO,Wright County,4317.00,22.90,1552.00,31.60,45017.00,
MO,St. Louis city,59041.00,21.30,16815.00,33.30,52278.00,
MT,Montana,130117.00,11.80,31626.00,13.80,67915.00,
MT,Beaverhead County,1091.00,11.70,253.00,16.20,57497.00,
MT,Big Horn County,2877.00,22.80,1068.00,26.10,49113.00,
MT,Blaine County,1185.00,17.30,443.00,22.40,53577.00,
MT,Broadwater County,662.00,8.60,152.00,10.00,67927.00,
MT,Carbon County,1018.00,9.20,219.00,11.40,67062.00,
MT,Carter County,179.00,13.20,41.00,14.40,50597.00,
MT,Cascade County,11401.00,13.80,3107.00,16.90,59184.00,
MT,Chouteau County,930.00,15.90,293.00,24.10,51137.00,
MT,Custer County,1249.00,10.80,335.00,14.80,64743.00,
MT,Daniels County,159.00,9.90,37.00,10.90,57141.00,
MT,Dawson County,995.00,11.90,273.00,14.50,60763.00,
MT,Deer Lodge County,1282.00,14.00,208.00,18.00,52848.00,
MT,Fallon County,299.00,10.00,92.00,11.90,65637.00,
MT,Fergus County,1396.00,12.30,354.00,15.00,60466.00,
MT,Flathead County,11987.00,10.80,2760.00,11.60,66395.00,
MT,Gallatin County,11442.00,9.50,1509.00,6.60,83520.00,
MT,Garfield County,176.00,14.70,54.00,19.70,50762.00,
MT,Glacier County,3474.00,25.80,1046.00,26.20,46270.00,
MT,Golden Valley County,160.00,19.60,37.00,29.40,45622.00,
MT,Granite County,381.00,11.00,75.00,15.60,58186.00,
MT,Hill County,2873.00,18.40,970.00,22.20,50518.00,
MT,Jefferson County,1007.00,8.00,231.00,9.20,83697.00,
MT,Judith Basin County,250.00,11.90,73.00,17.90,60677.00,
MT,Lake County,5923.00,18.20,1690.00,24.20,57225.00,
MT,Lewis and Clark County,6649.00,9.20,1505.00,9.90,72491.00,
MT,Liberty County,343.00,18.00,97.00,24.70,53601.00,
MT,Lincoln County,3686.00,17.30,900.00,24.30,48432.00,
MT,McCone County,237.00,14.00,52.00,16.10,59086.00,
MT,Madison County,885.00,9.60,182.00,12.90,72487.00,
MT,Meagher County,295.00,15.00,64.00,19.50,53724.00,
MT,Mineral County,628.00,12.50,169.00,17.70,55979.00,
MT,Missoula County,10920.00,9.20,2086.00,9.90,68210.00,
MT,Musselshell County,824.00,16.00,234.00,23.00,55291.00,
MT,Park County,1812.00,10.30,339.00,11.60,68594.00,
MT,Petroleum County,67.00,12.80,15.00,18.50,48991.00,
MT,Phillips County,630.00,15.10,199.00,20.10,56043.00,
MT,Pondera County,1197.00,20.20,381.00,28.20,51057.00,
MT,Powder River County,198.00,11.70,47.00,16.30,54102.00,
MT,Powell County,844.00,15.70,191.00,18.60,60350.00,
MT,Prairie County,146.00,13.40,32.00,14.10,49838.00,
MT,Ravalli County,5325.00,11.30,1198.00,13.90,65789.00,
MT,Richland County,1104.00,9.90,311.00,11.10,72974.00,
MT,Roosevelt County,2430.00,23.60,973.00,27.70,48712.00,
MT,Rosebud County,1424.00,17.80,581.00,24.70,64003.00,
MT,Sanders County,2298.00,17.30,540.00,24.80,47976.00,
MT,Sheridan County,446.00,12.70,125.00,17.30,62982.00,
MT,Silver Bow County,5658.00,16.00,1193.00,16.90,58898.00,
MT,Stillwater County,871.00,9.60,177.00,9.60,81147.00,
MT,Sweet Grass County,375.00,10.20,90.00,13.00,68006.00,
MT,Teton County,821.00,13.20,196.00,13.60,57054.00,
MT,Toole County,752.00,17.50,175.00,17.00,49850.00,
MT,Treasure County,94.00,12.40,30.00,17.40,60454.00,
MT,Valley County,863.00,11.70,231.00,14.40,79703.00,
MT,Wheatland County,387.00,19.60,97.00,20.90,44002.00,
MT,Wibaux County,125.00,14.10,37.00,19.10,56317.00,
MT,Yellowstone County,15385.00,9.30,3862.00,10.20,78216.00,
NE,Nebraska,213320.00,11.10,63073.00,13.50,69828.00,
NE,Adams County,3279.00,10.90,939.00,13.20,64212.00,
NE,Antelope County,751.00,12.10,259.00,16.90,63250.00,
NE,Arthur County,61.00,14.10,20.00,20.20,57018.00,
NE,Banner County,77.00,11.70,25.00,17.40,66584.00,
NE,Blaine County,80.00,17.70,28.00,30.40,54936.00,
NE,Boone County,506.00,9.60,158.00,12.30,68533.00,
NE,Box Butte County,1212.00,11.50,413.00,15.60,66762.00,
NE,Boyd County,246.00,14.40,68.00,21.90,54443.00,
NE,Brown County,345.00,12.10,85.00,14.00,55394.00,
NE,Buffalo County,6265.00,13.00,1399.00,12.60,67809.00,
NE,Burt County,764.00,11.50,205.00,13.30,58125.00,
NE,Butler County,721.00,8.70,208.00,10.50,76417.00,
NE,Cass County,1600.00,6.00,482.00,7.90,93195.00,
NE,Cedar County,674.00,8.20,213.00,10.00,69033.00,
NE,Chase County,347.00,9.50,110.00,11.90,64985.00,
NE,Cherry County,648.00,12.00,216.00,16.30,58017.00,
NE,Cheyenne County,1130.00,12.00,342.00,16.10,56604.00,
NE,Clay County,591.00,9.90,174.00,11.80,64251.00,
NE,Colfax County,953.00,9.20,342.00,11.20,69549.00,
NE,Cuming County,835.00,9.50,250.00,11.80,65809.00,
NE,Custer County,1147.00,11.10,359.00,14.60,60328.00,
NE,Dakota County,2424.00,11.70,983.00,16.40,65986.00,
NE,Dawes County,1213.00,16.20,291.00,20.00,52621.00,
NE,Dawson County,2864.00,12.10,1006.00,15.70,62089.00,
NE,Deuel County,232.00,12.20,82.00,21.00,56099.00,
NE,Dixon County,512.00,9.60,155.00,11.70,61144.00,
NE,Dodge County,3843.00,10.60,1147.00,12.90,68267.00,
NE,Douglas County,69886.00,12.20,21740.00,15.20,74424.00,
NE,Dundy County,205.00,13.10,66.00,22.00,58441.00,
NE,Fillmore County,495.00,9.20,118.00,11.70,68532.00,
NE,Franklin County,363.00,12.80,105.00,17.40,59400.00,
NE,Frontier County,383.00,15.30,103.00,19.70,58241.00,
NE,Furnas County,617.00,13.60,205.00,21.20,54213.00,
NE,Gage County,2171.00,10.20,596.00,12.70,64406.00,
NE,Garden County,303.00,16.80,90.00,26.00,51734.00,
NE,Garfield County,210.00,12.20,52.00,16.20,51530.00,
NE,Gosper County,169.00,9.50,65.00,17.00,67697.00,
NE,Grant County,62.00,10.80,24.00,17.00,63469.00,
NE,Greeley County,240.00,10.90,78.00,14.50,58561.00,
NE,Hall County,7017.00,11.50,2417.00,14.80,66277.00,
NE,Hamilton County,738.00,7.90,217.00,9.70,75369.00,
NE,Harlan County,315.00,10.50,94.00,14.70,62104.00,
NE,Hayes County,136.00,16.10,52.00,25.20,60141.00,
NE,Hitchcock County,370.00,14.50,109.00,18.00,54488.00,
NE,Holt County,1273.00,12.80,394.00,15.50,60502.00,
NE,Hooker County,62.00,9.10,16.00,11.10,53537.00,
NE,Howard County,536.00,8.40,168.00,11.00,69423.00,
NE,Jefferson County,743.00,10.60,238.00,14.90,59478.00,
NE,Johnson County,560.00,13.40,135.00,14.40,60549.00,
NE,Kearney County,536.00,8.10,175.00,10.60,74686.00,
NE,Keith County,936.00,11.40,308.00,18.80,60608.00,
NE,Keya Paha County,164.00,20.90,49.00,33.60,51579.00,
NE,Kimball County,414.00,12.80,111.00,17.40,55797.00,
NE,Knox County,1280.00,15.60,396.00,19.40,54880.00,
NE,Lancaster County,38884.00,12.50,9671.00,13.70,68358.00,
NE,Lincoln County,3923.00,11.90,1128.00,15.00,62442.00,
NE,Logan County,72.00,10.70,21.00,14.20,68723.00,
NE,Loup County,98.00,16.40,32.00,29.40,60487.00,
NE,McPherson County,56.00,15.10,17.00,25.40,52774.00,
NE,Madison County,4489.00,13.10,1196.00,13.70,63482.00,
NE,Merrick County,697.00,9.20,204.00,12.20,68754.00,
NE,Morrill County,619.00,14.00,198.00,19.50,58889.00,
NE,Nance County,371.00,11.40,113.00,14.70,62863.00,
NE,Nemaha County,911.00,13.80,242.00,15.20,61933.00,
NE,Nuckolls County,435.00,10.90,130.00,16.10,57278.00,
NE,Otoe County,1576.00,9.90,417.00,10.90,70433.00,
NE,Pawnee County,328.00,13.20,115.00,20.60,55584.00,
NE,Perkins County,299.00,10.70,91.00,13.70,67296.00,
NE,Phelps County,831.00,9.50,238.00,11.10,66287.00,
NE,Pierce County,681.00,9.40,216.00,11.70,70906.00,
NE,Platte County,3361.00,9.90,1009.00,11.50,67132.00,
NE,Polk County,397.00,7.80,113.00,9.70,70813.00,
NE,Red Willow County,1199.00,11.70,330.00,14.20,60108.00,
NE,Richardson County,960.00,12.80,266.00,16.20,56121.00,
NE,Rock County,172.00,14.10,51.00,19.00,55648.00,
NE,Saline County,1237.00,9.00,392.00,10.60,72948.00,
NE,Sarpy County,11259.00,5.80,3386.00,6.70,98619.00,
NE,Saunders County,1687.00,7.40,426.00,7.60,86179.00,
NE,Scotts Bluff County,5280.00,15.30,1951.00,23.10,56853.00,
NE,Seward County,1253.00,7.60,299.00,7.30,77778.00,
NE,Sheridan County,709.00,14.60,252.00,23.70,55388.00,
NE,Sherman County,384.00,13.10,128.00,19.70,58456.00,
NE,Sioux County,181.00,16.10,43.00,23.50,60806.00,
NE,Stanton County,461.00,8.20,136.00,10.10,75068.00,
NE,Thayer County,547.00,11.40,151.00,14.10,61125.00,
NE,Thomas County,90.00,13.50,32.00,21.80,58818.00,
NE,Thurston County,1256.00,19.70,652.00,28.70,57129.00,
NE,Valley County,516.00,12.80,160.00,17.40,55050.00,
NE,Washington County,1493.00,7.10,415.00,8.50,87368.00,
NE,Wayne County,1135.00,13.30,208.00,11.00,65664.00,
NE,Webster County,368.00,11.30,108.00,14.40,62679.00,
NE,Wheeler County,115.00,14.70,43.00,24.00,55951.00,
NE,York County,1488.00,11.00,408.00,12.90,68440.00,
NV,Nevada,394516.00,12.60,111697.00,16.50,72348.00,
NV,Churchill County,2556.00,10.10,766.00,13.40,70149.00,
NV,Clark County,304986.00,13.30,90607.00,17.90,70838.00,
NV,Douglas County,4170.00,8.40,814.00,11.20,91960.00,
NV,Elko County,4760.00,8.90,1541.00,11.00,88757.00,
NV,Esmeralda County,109.00,14.70,22.00,21.40,57501.00,
NV,Eureka County,199.00,10.70,59.00,14.70,80291.00,
NV,Humboldt County,1663.00,9.70,578.00,12.80,80255.00,
NV,Lander County,602.00,10.50,206.00,13.70,90190.00,
NV,Lincoln County,530.00,12.40,163.00,18.00,63978.00,
NV,Lyon County,6757.00,11.00,1847.00,15.00,74741.00,
NV,Mineral County,727.00,16.30,201.00,23.80,55704.00,
NV,Nye County,7936.00,14.80,1991.00,22.50,51933.00,
NV,Pershing County,755.00,15.10,184.00,16.80,65315.00,
NV,Storey County,299.00,7.20,53.00,10.40,90171.00,
NV,Washoe County,50322.00,10.30,10690.00,10.70,80245.00,
NV,White Pine County,912.00,11.30,259.00,14.80,67639.00,
NV,Carson City,7235.00,13.10,1716.00,15.10,62859.00,
NH,New Hampshire,100965.00,7.40,19231.00,7.70,90750.00,
NH,Belknap County,5552.00,8.70,1139.00,10.50,77531.00,
NH,Carroll County,4843.00,9.40,884.00,11.80,71981.00,
NH,Cheshire County,6432.00,8.70,1266.00,9.40,76227.00,
NH,Coos County,3810.00,12.70,812.00,16.40,52292.00,
NH,Grafton County,8774.00,10.20,1420.00,10.10,81205.00,
NH,Hillsborough County,27790.00,6.60,5801.00,7.10,96415.00,
NH,Merrimack County,11090.00,7.40,2107.00,7.50,84898.00,
NH,Rockingham County,17191.00,5.40,2789.00,4.80,107445.00,
NH,Strafford County,11209.00,9.00,2031.00,8.90,82845.00,
NH,Sullivan County,4273.00,9.90,982.00,13.10,74700.00,
NJ,New Jersey,879100.00,9.70,249908.00,12.70,96341.00,
NJ,Atlantic County,30748.00,11.40,8933.00,15.90,76108.00,
NJ,Bergen County,66461.00,7.00,15849.00,8.10,113885.00,
NJ,Burlington County,29915.00,6.60,7862.00,8.40,100188.00,
NJ,Camden County,64621.00,12.40,20450.00,17.50,81372.00,
NJ,Cape May County,9063.00,9.60,2027.00,12.70,80845.00,
NJ,Cumberland County,22152.00,15.50,7175.00,20.20,60892.00,
NJ,Essex County,128727.00,15.60,39130.00,20.00,74747.00,
NJ,Gloucester County,22578.00,7.60,4981.00,7.80,97851.00,
NJ,Hudson County,98969.00,14.20,25023.00,18.20,82361.00,
NJ,Hunterdon County,5227.00,4.10,1042.00,4.30,137334.00,
NJ,Mercer County,38810.00,10.60,10661.00,13.30,94832.00,
NJ,Middlesex County,69157.00,8.20,16469.00,9.10,102073.00,
NJ,Monmouth County,40420.00,6.30,8989.00,6.90,117699.00,
NJ,Morris County,22171.00,4.40,4564.00,4.40,131562.00,
NJ,Ocean County,72554.00,11.20,29092.00,18.30,81152.00,
NJ,Passaic County,62652.00,12.40,20937.00,17.60,78779.00,
NJ,Salem County,6898.00,10.70,2106.00,15.10,76005.00,
NJ,Somerset County,17692.00,5.10,4132.00,5.80,134735.00,
NJ,Sussex County,8578.00,5.90,1912.00,6.90,111308.00,
NJ,Union County,54080.00,9.60,16578.00,12.70,96483.00,
NJ,Warren County,7628.00,7.00,1998.00,9.60,97729.00,
NM,New Mexico,358749.00,17.30,103193.00,22.90,59842.00,
NM,Bernalillo County,92866.00,14.00,22707.00,17.00,65034.00,
NM,Catron County,753.00,19.80,152.00,35.70,44247.00,
NM,Chaves County,12152.00,19.60,3568.00,22.90,47855.00,
NM,Cibola County,7313.00,29.60,2383.00,38.40,45674.00,
NM,Colfax County,2148.00,18.50,522.00,26.30,49966.00,
NM,Curry County,8131.00,17.50,2724.00,22.20,52463.00,
NM,DeBaca County,317.00,18.80,115.00,30.90,45208.00,
NM,Dona Ana County,50613.00,23.20,16011.00,31.60,52011.00,
NM,Eddy County,7904.00,13.30,2517.00,16.20,65063.00,
NM,Grant County,5330.00,19.70,1361.00,27.20,47099.00,
NM,Guadalupe County,883.00,23.80,236.00,28.70,43862.00,
NM,Harding County,104.00,16.60,31.00,37.80,45217.00,
NM,Hidalgo County,988.00,25.20,325.00,37.40,43610.00,
NM,Lea County,12954.00,18.50,4749.00,22.70,59194.00,
NM,Lincoln County,3517.00,17.40,992.00,27.80,54344.00,
NM,Los Alamos County,704.00,3.70,117.00,3.00,139217.00,
NM,Luna County,6570.00,26.40,2239.00,34.30,38796.00,
NM,McKinley County,22063.00,31.90,7929.00,42.20,43720.00,
NM,Mora County,872.00,21.00,205.00,30.60,45155.00,
NM,Otero County,12722.00,19.60,4299.00,29.30,52787.00,
NM,Quay County,1996.00,23.60,532.00,30.60,39885.00,
NM,Rio Arriba County,7214.00,18.10,2031.00,23.00,56353.00,
NM,Roosevelt County,3142.00,17.60,1035.00,24.00,47854.00,
NM,Sandoval County,15683.00,10.30,4207.00,12.90,82862.00,
NM,San Juan County,26630.00,22.40,8515.00,28.80,51898.00,
NM,San Miguel County,6061.00,23.40,1254.00,29.50,47675.00,
NM,Santa Fe County,18396.00,12.00,3990.00,16.10,72836.00,
NM,Sierra County,2516.00,22.40,585.00,31.80,40420.00,
NM,Socorro County,3749.00,24.60,1104.00,32.80,42280.00,
NM,Taos County,6319.00,18.40,1489.00,27.10,48462.00,
NM,Torrance County,3071.00,20.30,924.00,29.20,48322.00,
NM,Union County,665.00,18.90,221.00,27.80,48545.00,
NM,Valencia County,14404.00,18.80,4121.00,23.60,53275.00,
NY,New York,2720649.00,14.20,725064.00,18.60,79463.00,
NY,Albany County,41781.00,14.00,8319.00,15.20,76997.00,
NY,Allegany County,7659.00,18.50,1767.00,19.90,55466.00,
NY,Bronx County,372320.00,27.60,115129.00,35.30,45864.00,
NY,Broome County,35947.00,19.50,9765.00,27.00,60533.00,
NY,Cattaraugus County,12031.00,16.20,3214.00,20.00,52383.00,
NY,Cayuga County,9386.00,13.00,2487.00,17.90,64129.00,
NY,Chautauqua County,21515.00,17.60,6551.00,26.60,55644.00,
NY,Chemung County,12033.00,15.30,3505.00,21.10,56664.00,
NY,Chenango County,5452.00,11.90,1554.00,16.90,60755.00,
NY,Clinton County,10047.00,13.60,1916.00,14.00,65272.00,
NY,Columbia County,6648.00,11.10,1404.00,15.30,83533.00,
NY,Cortland County,6401.00,15.10,1344.00,16.20,58274.00,
NY,Delaware County,6229.00,14.60,1313.00,19.20,61424.00,
NY,Dutchess County,25435.00,9.00,4802.00,9.20,90740.00,
NY,Erie County,122456.00,13.20,30716.00,16.60,69888.00,
NY,Essex County,4576.00,12.90,878.00,16.20,62376.00,
NY,Franklin County,6905.00,15.70,2059.00,22.50,59192.00,
NY,Fulton County,6454.00,12.50,1774.00,17.80,61512.00,
NY,Genesee County,5613.00,10.00,1377.00,12.20,68973.00,
NY,Greene County,5115.00,11.20,1160.00,15.80,71433.00,
NY,Hamilton County,546.00,10.70,93.00,15.00,62149.00,
NY,Herkimer County,7195.00,12.30,1884.00,15.90,62197.00,
NY,Jefferson County,15329.00,14.00,4606.00,17.20,58763.00,
NY,Kings County,508254.00,19.80,154478.00,27.50,73244.00,
NY,Lewis County,3627.00,13.70,1087.00,18.70,64452.00,
NY,Livingston County,6013.00,10.50,1370.00,13.00,75077.00,
NY,Madison County,6748.00,10.80,1819.00,15.10,69851.00,
NY,Monroe County,100844.00,13.90,28228.00,19.00,68169.00,
NY,Montgomery County,6694.00,13.70,2207.00,19.80,58176.00,
NY,Nassau County,75800.00,5.60,19010.00,6.60,135528.00,
NY,New York County,266257.00,17.20,46325.00,21.10,95514.00,
NY,Niagara County,29821.00,14.40,8602.00,21.30,63565.00,
NY,Oneida County,34520.00,15.80,10065.00,21.30,63894.00,
NY,Onondaga County,61353.00,13.60,17964.00,18.90,70939.00,
NY,Ontario County,10547.00,9.60,2667.00,12.80,76601.00,
NY,Orange County,57032.00,14.40,21249.00,21.00,88532.00,
NY,Orleans County,4268.00,11.20,1269.00,17.50,62900.00,
NY,Oswego County,19649.00,17.40,5540.00,23.50,59335.00,
NY,Otsego County,7081.00,13.30,1488.00,17.10,68962.00,
NY,Putnam County,6116.00,6.30,1058.00,5.80,112167.00,
NY,Queens County,295825.00,13.10,69821.00,16.10,80180.00,
NY,Rensselaer County,17178.00,11.20,4335.00,14.80,80040.00,
NY,Richmond County,54478.00,11.20,14918.00,14.50,91582.00,
NY,Rockland County,48087.00,14.40,22495.00,23.10,99839.00,
NY,St. Lawrence County,17074.00,17.50,4513.00,21.90,59451.00,
NY,Saratoga County,15356.00,6.50,3294.00,7.50,93341.00,
NY,Schenectady County,17868.00,11.60,4847.00,14.60,74206.00,
NY,Schoharie County,2888.00,10.10,689.00,13.70,67975.00,
NY,Schuyler County,2006.00,11.50,577.00,18.10,63233.00,
NY,Seneca County,4264.00,13.60,1273.00,19.40,65354.00,
NY,Steuben County,11667.00,12.80,3331.00,17.50,60558.00,
NY,Suffolk County,100921.00,6.80,21440.00,7.10,119253.00,
NY,Sullivan County,12527.00,16.40,4044.00,24.90,63733.00,
NY,Tioga County,4950.00,10.50,1382.00,14.90,76197.00,
NY,Tompkins County,14405.00,16.00,1718.00,12.30,72025.00,
NY,Ulster County,28283.00,16.20,4876.00,16.40,79340.00,
NY,Warren County,6569.00,10.10,1581.00,14.30,69849.00,
NY,Washington County,6150.00,10.60,1572.00,14.60,67013.00,
NY,Wayne County,10101.00,11.20,2627.00,14.20,70917.00,
NY,Westchester County,90385.00,9.30,21344.00,10.50,108037.00,
NY,Wyoming County,4468.00,12.10,1197.00,16.90,65526.00,
NY,Yates County,3504.00,15.00,1147.00,21.70,62637.00,
NC,North Carolina,1335859.00,12.80,390486.00,17.30,67516.00,
NC,Alamance County,21639.00,12.70,5692.00,15.00,61034.00,
NC,Alexander County,4854.00,13.80,1467.00,20.90,67717.00,
NC,Alleghany County,1730.00,15.60,458.00,25.30,49524.00,
NC,Anson County,4538.00,22.40,1395.00,32.60,48284.00,
NC,Ashe County,3861.00,14.40,911.00,20.60,54379.00,
NC,Avery County,2288.00,14.80,502.00,20.50,53894.00,
NC,Beaufort County,7815.00,17.70,2374.00,28.20,54415.00,
NC,Bertie County,3758.00,23.80,996.00,34.90,44434.00,
NC,Bladen County,5392.00,18.50,1599.00,27.50,46002.00,
NC,Brunswick County,12872.00,8.50,3441.00,16.50,73536.00,
NC,Buncombe County,32755.00,12.30,7209.00,15.40,67906.00,
NC,Burke County,10770.00,12.60,2780.00,18.50,60629.00,
NC,Cabarrus County,18756.00,8.00,5721.00,9.90,79649.00,
NC,Caldwell County,12850.00,16.20,3682.00,23.90,53586.00,
NC,Camden County,819.00,7.40,230.00,9.20,82620.00,
NC,Carteret County,8260.00,12.10,1935.00,17.00,67806.00,
NC,Caswell County,3515.00,16.60,958.00,24.00,54215.00,
NC,Catawba County,19702.00,12.30,5631.00,16.40,63934.00,
NC,Chatham County,7015.00,8.90,1627.00,11.00,84516.00,
NC,Cherokee County,4403.00,15.10,1107.00,24.50,51607.00,
NC,Chowan County,2222.00,16.30,684.00,25.30,55818.00,
NC,Clay County,1566.00,13.60,401.00,23.10,57698.00,
NC,Cleveland County,16448.00,16.70,5409.00,24.60,53170.00,
NC,Columbus County,9902.00,20.90,2971.00,29.20,45379.00,
NC,Craven County,13551.00,13.90,4091.00,19.10,63076.00,
NC,Cumberland County,50909.00,15.90,17593.00,21.20,58013.00,
NC,Currituck County,2753.00,8.90,794.00,11.70,76217.00,
NC,Dare County,2960.00,7.90,723.00,10.80,82052.00,
NC,Davidson County,21311.00,12.50,5851.00,16.10,63590.00,
NC,Davie County,4985.00,11.40,1347.00,15.10,63436.00,
NC,Duplin County,9784.00,20.20,3421.00,29.60,51270.00,
NC,Durham County,35109.00,11.10,10753.00,17.00,79524.00,
NC,Edgecombe County,9969.00,20.80,3407.00,31.80,48770.00,
NC,Forsyth County,55366.00,14.70,18471.00,21.60,62992.00,
NC,Franklin County,7968.00,10.90,2468.00,15.70,72415.00,
NC,Gaston County,27520.00,12.00,8555.00,16.80,65430.00,
NC,Gates County,1452.00,14.20,381.00,19.50,66561.00,
NC,Graham County,1167.00,14.80,348.00,22.70,50301.00,
NC,Granville County,6631.00,11.40,1840.00,15.30,74120.00,
NC,Greene County,4313.00,25.30,1337.00,35.20,49992.00,
NC,Guilford County,85573.00,16.40,24655.00,21.20,63822.00,
NC,Halifax County,9123.00,19.60,2826.00,28.00,44804.00,
NC,Harnett County,18068.00,13.30,5732.00,16.60,65242.00,
NC,Haywood County,7163.00,11.60,1976.00,18.50,62374.00,
NC,Henderson County,14418.00,12.30,3396.00,16.20,65252.00,
NC,Hertford County,4146.00,22.80,1268.00,35.10,43871.00,
NC,Hoke County,7761.00,14.60,2860.00,20.20,60903.00,
NC,Hyde County,812.00,20.80,198.00,28.30,48068.00,
NC,Iredell County,18210.00,9.40,5122.00,12.10,73446.00,
NC,Jackson County,6916.00,17.60,1263.00,18.60,58491.00,
NC,Johnston County,23285.00,10.00,7690.00,13.60,80612.00,
NC,Jones County,1560.00,17.10,453.00,27.40,56079.00,
NC,Lee County,10200.00,15.80,3574.00,23.80,58244.00,
NC,Lenoir County,11408.00,21.30,3829.00,31.70,46410.00,
NC,Lincoln County,8267.00,9.00,2107.00,11.30,78615.00,
NC,McDowell County,7020.00,16.10,1879.00,22.20,54042.00,
NC,Macon County,4662.00,12.40,1242.00,18.60,53832.00,
NC,Madison County,3121.00,15.00,759.00,21.20,54137.00,
NC,Martin County,4340.00,20.40,1250.00,29.30,44445.00,
NC,Mecklenburg County,115511.00,10.30,35626.00,14.10,80645.00,
NC,Mitchell County,2356.00,15.70,593.00,21.70,53555.00,
NC,Montgomery County,4139.00,16.40,1265.00,24.00,55313.00,
NC,Moore County,10220.00,9.80,2931.00,13.00,84458.00,
NC,Nash County,13636.00,14.50,4419.00,21.40,55406.00,
NC,New Hanover County,26876.00,11.70,6223.00,15.50,70995.00,
NC,Northampton County,3229.00,19.60,846.00,29.30,51550.00,
NC,Onslow County,22869.00,12.40,8137.00,16.20,62190.00,
NC,Orange County,18594.00,13.30,3089.00,11.40,87780.00,
NC,Pamlico County,1799.00,15.50,458.00,27.40,59845.00,
NC,Pasquotank County,5922.00,15.40,1931.00,22.80,59066.00,
NC,Pender County,6779.00,10.50,1994.00,13.90,73663.00,
NC,Perquimans County,1751.00,13.40,553.00,23.00,60665.00,
NC,Person County,5397.00,13.80,1611.00,20.30,61302.00,
NC,Pitt County,32848.00,19.50,8259.00,22.90,57319.00,
NC,Polk County,2546.00,13.00,591.00,19.50,61585.00,
NC,Randolph County,20479.00,14.20,5545.00,17.60,58037.00,
NC,Richmond County,9410.00,22.60,2996.00,30.60,44383.00,
NC,Robeson County,29466.00,26.10,10165.00,35.00,39931.00,
NC,Rockingham County,15436.00,17.00,4170.00,22.90,52494.00,
NC,Rowan County,21651.00,14.90,7360.00,23.10,61105.00,
NC,Rutherford County,10500.00,16.40,2722.00,21.40,53485.00,
NC,Sampson County,11707.00,20.10,3634.00,25.70,52248.00,
NC,Scotland County,7420.00,24.10,2648.00,34.30,45996.00,
NC,Stanly County,8046.00,12.90,2594.00,19.00,58642.00,
NC,Stokes County,4683.00,10.50,1259.00,15.40,56259.00,
NC,Surry County,12242.00,17.30,3330.00,22.70,49524.00,
NC,Swain County,1846.00,13.50,623.00,20.70,55462.00,
NC,Transylvania County,4362.00,13.40,1037.00,20.90,62173.00,
NC,Tyrrell County,639.00,19.70,200.00,28.10,42514.00,
NC,Union County,17565.00,7.10,5386.00,8.70,95079.00,
NC,Vance County,8368.00,20.10,3100.00,31.50,49961.00,
NC,Wake County,86727.00,7.50,21956.00,8.30,97099.00,
NC,Warren County,3695.00,20.70,877.00,27.30,47170.00,
NC,Washington County,2252.00,21.10,760.00,35.30,46072.00,
NC,Watauga County,10007.00,21.00,820.00,12.80,57888.00,
NC,Wayne County,20467.00,18.00,7185.00,26.40,55635.00,
